pdb_resname,element,oxidation_state,common_charge,coord_numbers,geometries,donor_preference_hsab,typical_distances_angstrom,spin_state_default,force_field_route,notes
LI,Li,+1,+1,4;6,tetrahedral;octahedral,hard (O),Li-O 1.95-2.10,diamagnetic,Amber 12-6-4 (Li+/Merz 2015),Rare in PDB; mainly buffer/inhibitor cofactor
NA,Na,+1,+1,6;5;7,octahedral;pentagonal_bipyramidal;square_pyramidal,hard (O carbonyl/carboxylate/water),Na-O 2.35-2.45,diamagnetic,Amber 12-6-4 (Joung-Cheatham/Merz),Ubiquitous; commonly co-crystallized; loose selectivity
K,K,+1,+1,6;7;8,octahedral;pentagonal_bipyramidal;square_antiprismatic,hard (O carbonyl/water),K-O 2.70-2.85,diamagnetic,Amber 12-6-4 (Merz 2015),K+ channel selectivity filter (8-coord); typical CN=7 in proteins
RB,Rb,+1,+1,6;7;8,octahedral;square_antiprismatic,hard (O),Rb-O 2.85-3.00,diamagnetic,Amber 12-6-4,K+ surrogate in crystallography (SAD phasing)
CS,Cs,+1,+1,8;9;10;12,square_antiprismatic;tricapped_trigonal_prismatic,hard (O),Cs-O 3.00-3.30,diamagnetic,Amber 12-6-4,Heavy-atom SAD phasing; large ionic radius
MG,Mg,+2,+2,6,octahedral,hard (O water/phosphate/carboxylate),Mg-O 2.05-2.10,diamagnetic,Amber 12-6-4 (Li-Merz JCTC 2013),Rigid CN=6; nucleic-acid/ATP cofactor; strict octahedral geometry
CA,Ca,+2,+2,7;6;8,pentagonal_bipyramidal;octahedral;square_antiprismatic,hard (O carboxylate/carbonyl/water),Ca-O 2.35-2.55,diamagnetic,Amber 12-6-4 (Li-Merz 2013),EF-hand (CN=7); flexible CN; Asp/Glu chelation
SR,Sr,+2,+2,7;8;9,pentagonal_bipyramidal;square_antiprismatic,hard (O),Sr-O 2.55-2.70,diamagnetic,Amber 12-6-4,Ca2+ surrogate for SAD/probe; MRI substitution studies
BA,Ba,+2,+2,8;9;10,square_antiprismatic;tricapped_trigonal_prismatic,hard (O),Ba-O 2.75-2.90,diamagnetic,Amber 12-6-4,Heavy-atom derivative; Ca2+ surrogate
SC,Sc,+3,+3,6;7,octahedral;pentagonal_bipyramidal,hard (O),Sc-O 2.10-2.20,diamagnetic (d0),LJ params scarce; MCPB.py recommended,Very rare in PDB; d0 Lewis acid
TI,Ti,+4,+4,6,octahedral;distorted_octahedral,hard (O),Ti-O 1.90-2.00,diamagnetic (d0),MCPB.py mandatory,Titanocene/anticancer complexes; hydrolysis-prone
V,V,+3,+3,6,octahedral,hard/borderline (O; N-His),V-O 1.95-2.05; V-N 2.10,S=1 (d2 HS),MCPB.py; some Bryce set,Amavadin-type; vanadium haloperoxidase precursor
VO,V,+4,+4,5;6,square_pyramidal (vanadyl VO2+);distorted_octahedral,borderline (O; N-His),V=O 1.60-1.65; V-N 2.10; V-O 1.95-2.20,S=1/2 (d1),MCPB.py mandatory,Vanadyl VO2+ cation; short apical V=O bond
VO4,V,+5,+5,4;5,tetrahedral (vanadate);trigonal_bipyramidal (TS-analog),hard (O),V-O 1.68-1.75; apical 1.90,diamagnetic (d0),GAFF/MCPB.py hybrid,Phosphate TS-analog; V(V) vanadate binds phosphatase active sites
CR,Cr,+3,+3,6,octahedral,hard (O; N-His),Cr-O 1.98-2.02; Cr-N 2.05,S=3/2 (d3 HS),MCPB.py mandatory,Kinetically inert; Cr(III) mostly biological form
MN,Mn,+2,+2,6;5;7,octahedral;square_pyramidal;pentagonal_bipyramidal,borderline-hard (O carboxylate/water; N-His),Mn-O 2.15-2.20; Mn-N 2.20,S=5/2 (d5 HS),Amber 12-6-4 (Li-Merz 2015),Most common Mn state; concanavalin/superoxide dismutase
MN3,Mn,+3,+3,6,Jahn-Teller octahedral;square_pyramidal,hard (O),Mn-O 1.90-2.10 (axial elong.),S=2 (d4 HS),MCPB.py recommended,Mn(III) in Mn-SOD/manganese peroxidase; JT distortion
MN5,Mn,+4,+4,6,octahedral,hard (O oxo/hydroxo),Mn-O 1.85-1.95; Mn=O 1.75,S=3/2 (d3 HS),MCPB.py mandatory,PSII OEC oxo-bridged (S-state cycle)
FE,Fe,+2,+2,6;5;4,octahedral (HS);square_pyramidal;tetrahedral,borderline (S-Cys; N-His; O),Fe-S 2.30; Fe-N(His) 2.15; Fe-O 2.10,S=2 (d6 HS) or S=0 (LS heme),Amber 12-6-4 (Li-Merz 2015); MCPB for heme,Fe(II) deoxy-heme LS/HS switches; rubredoxin CN=4
FE2,Fe,+2,+2,6;5;4,octahedral;square_pyramidal;tetrahedral,borderline (S; N-His; O),Fe-N 2.15; Fe-S 2.30,S=2 HS (non-heme),Amber 12-6-4,Explicit Fe(II) resname; non-heme mononuclear
FE3,Fe,+3,+3,6;5,octahedral;square_pyramidal;trigonal_bipyramidal,hard (O carboxylate/oxo/phenolate; N-His),Fe-O 2.00-2.05; Fe-N 2.10; Fe=O 1.65,S=5/2 (d5 HS) or 1/2 LS,Amber 12-6-4 (Li-Merz 2013); MCPB heme,Fe(III) met-heme; transferrin O-phenolate ~1.87
HEM,Fe,+3,+3,5;6,square_pyramidal;octahedral,borderline (N-porphyrin; N-His; O),Fe-Np 2.00; Fe-N(His) 2.10; Fe-O2 1.75,S=5/2 (met) or 0 (LS),MCPB.py; heme parameter libraries (Giammona/Shahrokh),Protoporphyrin IX Fe(III); axial H2O or OH
HEC,Fe,+3,+3,6,octahedral,borderline (N-porphyrin; S-Met; N-His),Fe-Np 2.00; Fe-S(Met) 2.30,S=1/2 LS,MCPB.py; c-type heme libraries,Cytochrome c heme covalent Cys thioether; 6-coord LS
HEB,Fe,+3,+3,5;6,square_pyramidal;octahedral,borderline (N-porph; N-His),Fe-Np 2.00; Fe-N 2.10,S=5/2 or 1/2,MCPB.py,Heme b variant
SF4,Fe,+2/+3 mixed,+2/+3,4 (per Fe),tetrahedral,soft-borderline (S-Cys/sulfide),Fe-S 2.25-2.30; Fe-Fe 2.70,cluster mixed-valence,MCPB.py; Carvalho/Cerqueira parameter sets,[4Fe-4S] cubane; 4 Cys ligands
FES,Fe,+2/+3,+2/+3,4 (per Fe),tetrahedral,soft-borderline (S-Cys/sulfide),Fe-S 2.25; Fe-Fe 2.70,antiferromag. coupled,MCPB.py,[2Fe-2S] Rieske variant with 2 His+2 Cys sometimes; classical 4 Cys
F3S,Fe,+2/+3,+2/+3,4 (per Fe),tetrahedral,soft-borderline (S-Cys/sulfide),Fe-S 2.25; Fe-Fe 2.70,mixed valence,MCPB.py,[3Fe-4S] cluster; ferredoxin variant
FCO,Fe,+3,+3,5;6,square_pyramidal;octahedral,borderline,Fe-C 1.85 (CO); Fe-N 2.00,S=0 LS,MCPB.py,Fe-CO bound heme; carbonmonoxy form
CO,Co,+2,+2,6;4;5,octahedral;tetrahedral;square_pyramidal,borderline (N-His; S-Cys; O),Co-N 2.10; Co-O 2.10; Co-S 2.25,S=3/2 HS (d7),Amber 12-6-4 (Li-Merz 2015),Zn substitution probe (spectroscopic); CN=4 tetrahedral common
3CO,Co,+3,+3,6,octahedral,borderline (N; O),Co-N 1.95; Co-O 1.90,S=0 LS (d6),MCPB.py,Kinetically inert Co(III); B12 alkyl-Co corrinoid
NCO,Co,+3,+3,6,octahedral,soft (CN- carbanion),Co-C 1.90; Co-N 1.95,S=0 LS,MCPB.py,Cobalamin/coenzyme B12 corrin family
NI,Ni,+2,+2,6;4;5,octahedral;square_planar;square_pyramidal,borderline (N-His; S-Cys),Ni-N 2.10 (Oh); 1.90 (sq_planar); Ni-S 2.20,S=1 (Oh HS) or 0 (sq_planar LS),Amber 12-6-4 (Li-Merz 2015),Urease binuclear; sq-planar in [NiFe]-H2ase
3NI,Ni,+3,+3,6,octahedral,borderline,Ni-S 2.15; Ni-N 2.00,S=1/2 (d7 LS),MCPB.py,[NiFe]-hydrogenase Ni-C state
CU,Cu,+2,+2,4;5;6,square_planar;square_pyramidal;Jahn-Teller_octahedral,borderline-soft (N-His; S-Cys; O; S-Met apical),Cu-N(His) 2.00; Cu-S(Cys) 2.15; Cu-O 1.95; Cu-S(Met) 2.90,S=1/2 (d9),Amber 12-6-4 (Li-Merz 2013); MCPB for T1 sites,Type-1 (blue) Cu 3+1; Type-2 (normal) sq-planar; JT elongated Oh
