pdb,route,overall_status,overall_confidence,n_components,model_written,tleap_loads,notes
1K4Y,?,delivered_with_notes,medium,11,True,,
2XU3,bl_pose_crystal_asis,delivered_with_notes,medium,5,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
3DF9,bl_pose_crystal_asis,delivered_with_notes,medium,3,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
3I06,bl_pose_crystal_asis,delivered_with_notes,medium,2,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
4A5S,bl_pose_crystal_asis,delivered_with_notes,medium,26,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
4B6L,bl_pose_crystal_asis,delivered_with_notes,medium,3,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
4L7G,bl_pose_crystal_asis,delivered_with_notes,medium,3,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
4QB3,bl_pose_crystal_asis,delivered_with_notes,medium,3,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
4X7Q,bl_pose_crystal_asis,delivered_with_notes,medium,4,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
5HJS,bl_pose_crystal_asis,delivered_with_notes,medium,5,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
5HU9,bl_pose_crystal_asis,delivered_with_notes,medium,16,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
5M7U,bl_pose_crystal_asis,delivered_with_notes,medium,3,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
5OTE,bl_pose_crystal_asis,delivered_with_notes,medium,4,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
6E1Z,bl_pose_crystal_asis,delivered_with_notes,medium,3,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
6NRH,bl_pose_crystal_asis,delivered_with_notes,medium,9,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
6Z1T,bl_pose_crystal_asis,delivered_with_notes,medium,3,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
7D5B,bl_pose_crystal_asis,delivered_with_notes,medium,8,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
8A27,bl_pose_crystal_asis,delivered_with_notes,medium,7,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
8ELC,bl_pose_crystal_asis,delivered_with_notes,medium,2,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
8X92,bl_pose_crystal_asis,delivered_with_notes,medium,4,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
8ZP2,bl_pose_crystal_asis,delivered_with_notes,medium,6,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
9D9I,bl_pose_crystal_asis,delivered_with_notes,medium,4,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
9GJ1,bl_pose_crystal_asis,delivered_with_notes,medium,3,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
9J9D,bl_pose_crystal_asis,delivered_with_notes,medium,6,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
9OJO,bl_pose_crystal_asis,delivered_with_notes,medium,2,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
9SI4,bl_pose_crystal_asis,delivered_with_notes,medium,8,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
9Y9N,bl_pose_crystal_asis,delivered_with_notes,medium,3,True,,"BL-Pose fallback: shipped crystal as-is, no AF gap fill"
